code_period,code_present_place,date_receipt,fid,s40,year,quarter
21,214,2019-04-25,62789,102863,2019,1
21,214,2019-07-02,64286,0,2019,1
21,214,2019-04-12,65913,0,2019,1
21,214,2019-04-16,66761,0,2019,1
21,214,2019-06-10,66945,60853,2019,1
21,214,2019-04-18,73899,0,2019,1
21,214,2019-04-15,73993,0,2019,1
21,214,2019-04-24,82658,0,2019,1
21,214,2019-04-24,88606,0,2019,1
21,214,2019-04-25,97766,8271426,2019,1
21,214,2019-10-23,103885,593807,2019,1
21,214,2019-04-25,105307,0,2019,1
21,214,2019-04-25,115104,0,2019,1
21,214,2019-12-05,122173,0,2019,1
21,214,2019-04-08,123568,0,2019,1
21,214,2019-04-24,131642,984891,2019,1
21,214,2019-04-23,145500,5861,2019,1
21,214,2019-04-24,155093,0,2019,1
21,214,2019-04-01,160697,0,2019,1
21,214,2019-04-21,177799,0,2019,1
21,214,2019-04-08,185274,0,2019,1
21,214,2019-04-25,192761,224607,2019,1
21,214,2019-04-24,194131,160870,2019,1
21,214,2019-04-09,197308,0,2019,1
21,214,2019-07-13,10003,34558,2019,1
21,214,2019-04-08,24498,0,2019,1
21,214,2019-04-22,29211,0,2019,1
21,214,2019-04-19,34742,200,2019,1
21,214,2019-04-19,34994,119030,2019,1
21,214,2019-08-01,35698,14870,2019,1
21,214,2019-04-22,68121,3479085,2019,1
21,214,2019-10-28,70286,2851,2019,1
21,214,2019-04-07,87205,0,2019,1
21,214,2019-04-23,87244,814400,2019,1
21,231,2019-06-25,92372,0,2019,1
21,214,2019-04-25,93673,19249,2019,1
21,214,2019-04-24,98755,0,2019,1
21,214,2019-04-24,105658,19959,2019,1
21,214,2019-04-24,105891,2006536,2019,1
21,214,2019-04-22,117644,4567,2019,1
21,214,2020-11-11,119764,83211,2019,1
21,214,2019-04-18,127356,147,2019,1
21,214,2019-10-18,128885,234861,2019,1
21,214,2019-07-05,128966,0,2019,1
21,214,2019-05-29,135902,0,2019,1
21,214,2019-04-15,139202,0,2019,1
21,214,2019-12-06,142296,150436,2019,1
21,214,2019-04-24,155175,0,2019,1
21,214,2019-04-15,155853,0,2019,1
21,214,2019-04-24,156736,33199,2019,1
21,214,2019-04-28,165012,0,2019,1
21,231,2019-06-03,168268,0,2019,1
21,214,2019-04-22,176244,0,2019,1
21,214,2019-04-24,182392,0,2019,1
21,214,2020-03-31,185672,441886,2019,1
21,214,2019-04-22,190237,175059,2019,1
21,214,2019-04-16,190592,0,2019,1
21,214,2019-04-02,196525,0,2019,1
21,214,2019-04-21,8598,0,2019,1
21,214,2019-04-25,12365,16267,2019,1
21,214,2020-02-12,15343,0,2019,1
21,214,2019-04-11,15548,0,2019,1
21,214,2019-08-19,20450,25380,2019,1
21,214,2019-04-25,33531,41972,2019,1
